lab/ct/plctest16b,,,,,,,,,,,,,,,,,,,,,,,,,
PLC_INTERLOCK,GUI,,VACUUM ITLK,GUI,,COOLING ITLK,GUI,,AIR ITLK,GUI,,DINAMICS ITLK,GUI,,Temperature ITLK,GUI,,COMMUNICATIONS,GUI,,CPU INTERLOCK,GUI,,DIAGNOSTICS,GUI
PLC_CONFIG,CPU,,VCPNV_P0L0501,VALVES,,COCOAS_P0L0501_FS_FSW_DI,DI,,FLPAAS_P0L0501_PS1_PST_AF,AF,,EXDIFF_P0L0501_SPDCTRL_SETP_AO,AF,,OPPT100_P0L0501_PT_TEMP_PT,A,,,,,CC1_VCCCG_P0L0501_DI,DI,,PI1_VCPIR_P0L0501_DI,DI
EPS_CONFIG,CPU,,CC1_VCCCG_P0L0501_DI,DI,,COCOAS_P0L0501_FM1_FM_AF,AF,,FLPAAS_P0L0501_PS2_PST_AF,AF,,,,,FEPSHU_P0L0501_T1_TC_TH,A,,,,,CC1_VCCCG_P0L0501_AF,AF,,PI1_VCPIR_P0L0502_DI,DI
EPL_PLC_VAR,DI,,CC1_VCCCG_P0L0501_AF,AF,,,,,FLPAAS_P0L0501_EV,VALVES,,,,,FEPSHU_P0L0501_T2_TC_TH,A,,,,,SPBX_P0L05B0201_DI,DI,,PI1_VCPIR_P0L0501_AF,AF
EPL_err_bit,DI,,SPBX_P0L05B0201_DI,DI,,COCOAS_P0L0501_PS1_PST_AF,AF,,,,,,,,FEPSHU_P0L0501_T3_TC_TH,A,,,,,CC2_VCCCG_P0L0502_DI,DI,,PI1_VCPIR_P0L0502_AF,AF
SW_PWLNK_OUT_0,EPL,,CC2_VCCCG_P0L0502_DI,DI,,COCOAS_P0L0501_WEV1,VALVES,,,,,,,,FEPSHU_P0L0501_T4_TC_TH,A,,,,,CC2_VCCCG_P0L0502_AF,AF,,P0L05B0201REM3_DI,DI
SW_PWLNK_MB_0,EPL,,CC2_VCCCG_P0L0502_AF,AF,,COCOAS_P0L0501_WEV2,VALVES,,,,,,,,VCTC_P0L0501_TC_TC_TH,A,,,,,P0L05B0201REM3_DI,DI,,P0L05B0201REM3_DO,DO
SW_PWLNK_MB_0,EPL,,P0L05B0201REM3_DI,DI,,,,,,,,,,,VCTC_P0L0502_TC_TC_TH,A,,,,,CC1_VCCCG_P0L0503_DI,DI,,REM1_SPBX_P0L05B0201_DO,DO
SW_PWLNK_T_0,EPL,,VCPNV_P0L0502,VALVES,,,,,,,,,,,,,,,,,CC1_VCCCG_P0L0503_AF,AF,,REM3_VCIP100_P0L0504_DO,DO
SW_PWLNK_OUT_1,EPL,,CC2_VCCCG_P0L0502_DI,DI,,,,,,,,,,,,,,,,,SPBX_P0L05B0202_DI,DI,,REM1_SPBX_P0L05B0202_DO,DO
SW_PWLNK_MB_1,EPL,,CC2_VCCCG_P0L0502_AF,AF,,,,,,,,,,,,,,,,,CC2_VCCCG_P0L0504_DI,DI,,COFM_P0L0501_FM_FM_AF,AF
SW_PWLNK_MB_1,EPL,,P0L05B0201REM3_DI,DI,,,,,,,,,,,,,,,,,CC2_VCCCG_P0L0504_AF,AF,,COFM_P0L0502_FM_FM_AF,AF
SW_PWLNK_T_1,EPL,,CC1_VCCCG_P0L0503_DI,DI,,,,,,,,,,,,,,,,,REM3_VCIP100_P0L0504_DI,DI,,,
PLC_CONTROL,Di,,CC1_VCCCG_P0L0503_AF,AF,,,,,,,,,,,,,,,,,,,,,
CPU_Battery,DI,,SPBX_P0L05B0202_DI,DI,,,,,,,,,,,,,,,,,,,,,
CPU_T1,A,,VCPNV_P0L0503,VALVES,,,,,,,,,,,,,,,,,,,,,
CPU_T2,A,,CC1_VCCCG_P0L0503_DI,DI,,,,,,,,,,,,,,,,,,,,,
,,,CC1_VCCCG_P0L0503_AF,AF,,,,,,,,,,,,,,,,,,,,,
,,,SPBX_P0L05B0202_DI,DI,,,,,,,,,,,,,,,,,,,,,
,,,CC2_VCCCG_P0L0504_DI,DI,,,,,,,,,,,,,,,,,,,,,
,,,CC2_VCCCG_P0L0504_AF,AF,,,,,,,,,,,,,,,,,,,,,
,,,REM3_VCIP100_P0L0504_DI,DI,,,,,,,,,,,,,,,,,,,,,
,,,VCPNV_P0L0504,VALVES,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VCPNV_P0L0501,VALVES,,,,,,,,,,,,,,,,,,,,,
,,,VCVFCS_P0L0501,FCS,,,,,,,,,,,,,,,,,,,,,
,,,FEPSHU_P0L0501_PRS,PSHU,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VCTC_P0L0501_TC_TC_TH,A,,,,,,,,,,,,,,,,,,,,,
,,,VCTC_P0L0502_TC_TC_TH,A,,,,,,,,,,,,,,,,,,,,,
,,,FEPSHU_P0L0501_FLW_FLW1_DI,DI,,,,,,,,,,,,,,,,,,,,,
,,,FEPSHU_P0L0501_FLW_FLW2_DI,DI,,,,,,,,,,,,,,,,,,,,,
,,,FEBRTU_P0L0501,BRTU,,,,,,,,,,,,,,,,,,,,,
,,,VCPNV_P0L0501,VALVES,,,,,,,,,,,,,,,,,,,,,
,,,VCPNV_P0L0502,VALVES,,,,,,,,,,,,,,,,,,,,,
,,,VCVFCS_P0L0501,FCS,,,,,,,,,,,,,,,,,,,,,
,,,FEPSHU_P0L0501_AIR_AIR_DI,DI,,,,,,,,,,,,,,,,,,,,,
,,,FEPSHU_P0L0501,PSHU,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,FEBRTU_P0L0501_AIR_AIR_DI,DI,,,,,,,,,,,,,,,,,,,,,
,,,VCPNV_P0L0501,VALVES,,,,,,,,,,,,,,,,,,,,,
,,,VCPNV_P0L0502,VALVES,,,,,,,,,,,,,,,,,,,,,
,,,VCPNV_P0L0503,VALVES,,,,,,,,,,,,,,,,,,,,,
,,,FEBRTU_P0L0501,BRTU,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,VCRGA_P0L0501_TRIP_RGA_DO,DO,,,,,,,,,,,,,,,,,,,,,